vehicle_id,vehicle_type,operator,line,speed,occupancy
430,bus,6,864,5.41,0
439,tram,40,30,1.75,0
439,tram,40,30,4.27,0
1068,bus,6,56,7.4,0
414,bus,6,102,10.37,0
1031,train,90,636,9.11,0
1538,bus,12,226,0.0,0
1022,bus,22,259,17.11,0
1287,bus,22,259,4.84,0
1538,bus,12,226,7.97,0
194,bus,51,811,1.18,0
1380,bus,22,110,7.15,0
1020,bus,22,259,1.38,0
965,bus,6,56,9.39,0
1008,train,90,636,20.53,0
1405,bus,22,244,10.74,0
1162,bus,22,1072,2.89,0
943,bus,6,77,8.97,0
1240,bus,22,51,0.63,0
1240,bus,22,51,3.41,0
1404,bus,22,624,3.14,0
1404,bus,22,624,8.87,0
19,bus,12,91,0.2,0
946,bus,22,237,6.84,0
443,tram,40,32,4.69,0
2406,bus,12,743,16.14,0
1053,bus,22,68,10.48,0
1053,bus,22,68,8.86,0
405,tram,40,39,8.44,0
1538,bus,12,226,8.44,0
1831,bus,12,1113,4.58,0
97,tram,40,30,0.0,0
623,tram,40,1142,2.72,0
1068,bus,22,621,4.39,0
103,tram,40,40,1.59,0
1059,train,90,279,23.25,0
928,bus,22,786,10.09,0
943,bus,6,77,2.72,0
6301,train,90,286,21.72,0
6301,train,90,286,22.35,0
1216,bus,22,945,5.98,0
1338,bus,12,90,8.89,0
2260,bus,12,138,6.56,0
71,bus,17,98,0.07,0
474,bus,6,459,8.21,0
256,bus,6,239,6.02,0
414,bus,6,102,2.52,0
1409,bus,22,68,0.0,0
71,bus,17,98,6.11,0
1057,train,90,636,9.72,0
1199,bus,22,109,0.0,0
405,tram,40,39,0.41,0
278,bus,6,866,1.84,0
278,bus,6,866,9.35,0
1833,bus,12,743,16.25,0
1402,bus,22,245,6.1,0
1083,bus,6,80,0.36,0
1022,bus,22,259,21.54,0
1079,train,90,292,9.11,0
1081,bus,6,80,4.01,0
1068,bus,22,621,9.47,0
1068,train,90,292,6.48,0
1216,bus,22,945,4.75,0
667,bus,47,44,12.91,0
1405,bus,22,244,11.51,0
1526,bus,12,785,14.12,0
1116,bus,22,1108,3.93,0
1162,bus,22,1072,3.07,0
1025,bus,6,678,21.39,0
1057,bus,22,64,0.15,0
986,bus,6,1112,1.19,0
483,bus,6,866,2.73,0
470,tram,40,31,3.76,0
1003,bus,6,581,8.09,0
483,bus,6,866,4.9,0
1098,bus,6,86,9.54,0
1330,bus,12,810,6.43,0
1214,bus,12,360,3.94,0
457,tram,40,34,1.85,0
1003,train,90,288,21.76,0
1053,bus,22,68,13.3,0
1212,bus,12,824,9.47,0
1212,bus,12,824,7.17,0
1287,bus,22,259,7.87,0
1539,bus,12,771,9.62,0
1539,bus,12,771,7.92,0
421,tram,40,1145,10.85,0
932,bus,22,875,8.26,0
226,bus,6,72,8.96,0
256,bus,6,239,5.18,0
439,tram,40,30,4.99,0
1032,train,90,292,15.69,0
415,tram,40,34,3.65,0
278,bus,6,866,6.29,0
2258,bus,12,133,8.64,0
1020,bus,22,259,7.08,0
1090,bus,6,102,6.85,0
667,bus,47,44,7.9,0
415,tram,40,34,0.0,0
6301,train,90,286,20.6,0
1033,train,90,636,10.96,0
121,tram,40,40,3.45,0
1820,bus,12,1113,1.97,0
928,bus,22,786,0.79,0
470,tram,40,31,4.12,0
