stop1,stop2
2314219.0,2314224
2314224.0,2314226
2314226.0,2321203
2321203.0,2321249
2321249.0,2322201
2322201.0,2322208
2322208.0,2322210
2322210.0,2322211
2322211.0,2322212
2322212.0,2322229
2322229.0,2322235
2322235.0,2322237
2322237.0,2322238
2322238.0,2322239
2322239.0,2323207
2323207.0,2323214
2323214.0,2323250
2323250.0,2323253
2323253.0,2331207
2331207.0,2331208
2331208.0,2331209
2331209.0,2331211
2331211.0,2332202
2332202.0,2411215
2411215.0,2411216
2411216.0,2411255
2411255.0,2411257
2411257.0,2411258
2411258.0,2411259
2411259.0,2411264
2411264.0,2412222
2412222.0,2412224
2412224.0,2412235
2412235.0,2412236
2412236.0,2412237
2412237.0,2412275
2412275.0,2413205
2413205.0,2413206
2413206.0,2413209
2413209.0,2413210
2413210.0,2413213
2413213.0,2413218
2413218.0,2413238
2413238.0,2413257
2413257.0,2414270
2414270.0,2421201
2421201.0,2421205
2421205.0,2421211
2421211.0,2421212
2421212.0,2421219
2421219.0,2422201
2422201.0,2422219
2422219.0,2423205
2423205.0,2423207
2423207.0,2423210
2423210.0,2423216
2423216.0,2431213
2431213.0,2431239
2431239.0,2431240
2431240.0,2431253
2431253.0,2431258
2431258.0,2432205
2432205.0,2432219
2432219.0,2432221
2432221.0,2432222
2432222.0,2432224
2432224.0,2432233
2432233.0,2432262
2432262.0,2433210
2433210.0,2433211
2433211.0,2433212
2433212.0,2434204
2434204.0,2434205
2434205.0,2434206
2434206.0,2434207
2434207.0,2434208
2434208.0,2434209
2434209.0,2434213
2434213.0,2434250
2434250.0,2441208
2441208.0,2441244
2441244.0,2442201
2442201.0,2442213
2442213.0,2442214
2442214.0,2443213
2443213.0,2443215
2443215.0,2443227
2443227.0,2443228
2443228.0,2443229
2443229.0,2451211
2451211.0,2511209
2511209.0,2511211
2511211.0,2511213
2511213.0,2511229
2511229.0,2511234
2511234.0,2511235
2511235.0,2511236
2511236.0,2511239
2511239.0,2511253
2511253.0,2511257
2511257.0,2511551
2511551.0,2521301
2521301.0,2522202
2522202.0,2522208
2522208.0,2522210
2522210.0,2522215
2522215.0,2522221
2522221.0,2522222
2522222.0,2611202
2611202.0,2611206
2611206.0,2611207
2611207.0,2611208
2611208.0,2611234
2611234.0,2611235
2611235.0,2611248
2611248.0,2611250
2611250.0,2611251
2611251.0,2611257
2611257.0,2611260
2611260.0,2611262
2611262.0,2611264
2611264.0,2611268
2611268.0,2611270
2611270.0,2611271
2611271.0,2612221
2612221.0,2612224
2612224.0,2613000
2613000.0,2613003
2613003.0,2613008
2613008.0,2613009
2613009.0,2613011
2613011.0,2613205
2613205.0,2613215
2613215.0,2613242
2613242.0,2613274
2613274.0,2614206
2614206.0,2614226
2614226.0,2614257
2614257.0,2615230
2615230.0,2621204
2621204.0,2621206
2621206.0,2621210
2621210.0,2621212
2621212.0,2621218
2621218.0,2631201
2631201.0,2631217
2631217.0,2631218
2631218.0,2631219
2631219.0,2631269
2631269.0,2631280
2631280.0,2632235
2632235.0,2632247
2632247.0,2632249
2632249.0,2632252
2632252.0,2635224
2635224.0,2642204
2642204.0,2642237
2642237.0,2642267
2642267.0,2644232
2644232.0,2711266
2711266.0,2712216
2712216.0,2712223
2712223.0,2713202
2713202.0,2713204
2713204.0,2713205
2713205.0,2713207
2713207.0,2714206
2714206.0,2714218
2714218.0,2714245
2714245.0,2714297
2714297.0,2715202
2715202.0,2715239
2715239.0,2715240
2715240.0,2715251
2715251.0,2715293
2715293.0,2715295
2715295.0,2721208
2721208.0,2721210
2721210.0,2721276
2721276.0,2721294
2721294.0,2723277
2723277.0,2724250
2724250.0,3170202
3170202.0,3170212
3170212.0,3170224
3170224.0,3170226
3170226.0,3170227
3170227.0,3170229
3170229.0,3170230
3170230.0,3170231
3170231.0,3170239
3170239.0,3170240
3170240.0,3170241
3170241.0,3170257
3170257.0,4100206
4100206.0,4100211
4100211.0,4120201
4120201.0,4120202
4120202.0,4120203
4120203.0,4120204
4120204.0,4120206
4120206.0,4120207
4120207.0,4120208
4120208.0,4120210
4120210.0,4120211
4120211.0,4120221
4120221.0,4120223
4120223.0,4120291
4120291.0,4130207
4130207.0,4130209
4130209.0,4130210
4130210.0,4130219
4130219.0,4130229
4130229.0,4130230
