trip_id,route_id,start_time,start_date,direction,total_stops
,4443,2025-01-31 19:08:00,2025-01-30,2,22
,1006,2025-01-31 18:46:00,2025-01-30,1,23
,1006,2025-01-31 18:58:00,2025-01-30,1,23
,1087,2025-01-31 19:15:00,2025-01-30,2,12
,1004,2025-01-31 18:42:00,2025-01-30,2,30
,4400,2025-01-31 19:13:00,2025-01-30,1,29
,1007,2025-01-31 18:35:00,2025-01-30,1,32
,1059,2025-01-31 19:00:00,2025-01-30,2,36
,4300,2025-01-31 18:51:00,2025-01-30,2,29
,5520,2025-01-31 18:14:00,2025-01-30,1,37
,9975,2025-01-31 19:08:00,2025-01-30,1,16
,2582,2025-01-31 19:14:00,2025-01-30,2,41
,5520,2025-01-31 19:15:00,2025-01-30,1,37
,4571,2025-01-31 19:03:00,2025-01-30,1,46
,1061,2025-01-31 18:33:00,2025-01-30,2,35
,2542,2025-01-31 19:22:00,2025-01-30,2,1
,1059,2025-01-31 19:17:00,2025-01-30,1,1
,4631,2025-01-31 19:20:00,2025-01-30,2,1
,1071,2025-01-31 19:14:00,2025-01-30,2,29
,2200,2025-01-31 18:40:00,2025-01-30,2,33
,2510,2025-01-31 18:52:00,2025-01-30,2,37
,1090,2025-01-31 19:15:00,2025-01-30,1,12
,2111,2025-01-31 19:16:00,2025-01-30,1,35
,1090,2025-01-31 19:15:00,2025-01-30,2,12
,4570,2025-01-31 18:35:00,2025-01-30,2,38
,1004,2025-01-31 19:06:00,2025-01-30,2,30
,1056,2025-01-31 19:05:00,2025-01-30,2,29
,1007,2025-01-31 18:59:00,2025-01-30,1,32
,2214,2025-01-31 19:01:00,2025-01-30,2,22
,4570,2025-01-31 18:55:00,2025-01-30,1,37
,1080,2025-01-31 19:05:00,2025-01-30,2,12
,6171,2025-01-31 19:08:00,2025-01-30,1,42
,2200,2025-01-31 18:25:00,2025-01-30,2,33
,4624,2025-01-31 18:48:00,2025-01-30,1,40
,3001K,2025-01-31 18:51:00,2025-01-30,1,15
,1500,2025-01-31 19:16:00,2025-01-30,2,28
,2015,2025-01-31 19:03:00,2025-01-30,2,34
,2125,2025-01-31 18:51:00,2025-01-30,1,33
,1010,2025-01-31 19:13:00,2025-01-30,2,14
,2215,2025-01-31 19:16:00,2025-01-30,1,20
,1007,2025-01-31 18:31:00,2025-01-30,2,31
,2213N,2025-01-31 19:15:00,2025-01-30,1,38
,4447,2025-01-31 19:06:00,2025-01-30,2,17
,1086,2025-01-31 19:07:00,2025-01-30,2,16
,1037,2025-01-31 19:13:00,2025-01-30,1,37
,2236,2025-01-31 19:16:00,2025-01-30,1,1
,1054,2025-01-31 19:06:00,2025-01-30,2,30
,2239,2025-01-31 19:01:00,2025-01-30,1,52
,4335,2025-01-31 18:58:00,2025-01-30,1,57
,2159,2025-01-31 19:09:00,2025-01-30,1,17
,1094,2025-01-31 19:04:00,2025-01-30,2,17
,2548,2025-01-31 19:16:00,2025-01-30,2,26
,5530,2025-01-31 18:31:00,2025-01-30,1,35
,4560,2025-01-31 18:53:00,2025-01-30,1,41
,1063,2025-01-31 18:58:00,2025-01-30,2,34
,9973,2025-01-31 18:59:00,2025-01-30,1,33
,1025,2025-01-31 19:06:00,2025-01-30,2,23
,2015,2025-01-31 19:05:00,2025-01-30,1,34
,4570,2025-01-31 18:35:00,2025-01-30,2,37
,4717,2025-01-31 19:15:00,2025-01-30,1,48
,1041,2025-01-31 18:54:00,2025-01-30,2,26
,2213,2025-01-31 19:11:00,2025-01-30,2,43
,1003,2025-01-31 18:33:00,2025-01-30,1,32
,1057,2025-01-31 19:02:00,2025-01-30,1,40
,4522,2025-01-31 19:15:00,2025-01-30,2,34
,1009,2025-01-31 18:55:00,2025-01-30,2,27
,2548,2025-01-31 19:16:00,2025-01-30,2,7
,4631,2025-01-31 18:49:00,2025-01-30,2,41
,4561,2025-01-31 18:57:00,2025-01-30,1,61
,2124,2025-01-31 19:14:00,2025-01-30,1,31
,4570,2025-01-31 18:55:00,2025-01-30,2,37
,2163,2025-01-31 18:59:00,2025-01-30,2,48
,2544,2025-01-31 19:14:00,2025-01-30,1,39
,2236,2025-01-31 18:46:00,2025-01-30,1,51
,3001K,2025-01-31 18:52:00,2025-01-30,2,15
,1064,2025-01-31 18:51:00,2025-01-30,1,25
,1037,2025-01-31 19:13:00,2025-01-30,2,37
,4576,2025-01-31 18:57:00,2025-01-30,1,61
,3001I,2025-01-31 19:26:00,2025-01-30,1,26
,4624,2025-01-31 19:08:00,2025-01-30,1,40
,5520,2025-01-31 19:01:00,2025-01-30,2,37
,4570,2025-01-31 18:55:00,2025-01-30,2,38
,1073,2025-01-31 19:02:00,2025-01-30,2,37
,6171,2025-01-31 18:38:00,2025-01-30,1,42
,1003,2025-01-31 19:20:00,2025-01-30,1,1
,1009,2025-01-31 19:02:00,2025-01-30,1,28
,9976,2025-01-31 19:08:00,2025-01-30,1,12
,4560,2025-01-31 19:13:00,2025-01-30,1,41
,1057,2025-01-31 19:18:00,2025-01-30,2,1
,5530,2025-01-31 18:31:00,2025-01-30,1,36
,2553,2025-01-31 19:15:00,2025-01-30,2,43
,1030,2025-01-31 19:08:00,2025-01-30,1,40
,1052,2025-01-31 19:05:00,2025-01-30,1,40
,4600,2025-01-31 18:59:00,2025-01-30,1,25
,1056,2025-01-31 19:01:00,2025-01-30,1,31
,2200,2025-01-31 19:17:00,2025-01-30,1,33
,1080,2025-01-31 19:08:00,2025-01-30,1,12
,2542,2025-01-31 18:56:00,2025-01-30,1,47
,2015,2025-01-31 18:25:00,2025-01-30,1,34
,5530,2025-01-31 18:31:00,2025-01-30,2,35
,2544,2025-01-31 18:59:00,2025-01-30,1,39
,1007,2025-01-31 18:47:00,2025-01-30,1,32
,2200,2025-01-31 19:17:00,2025-01-30,1,1
,4611,2025-01-31 19:07:00,2025-01-30,2,36
,1079,2025-01-31 18:48:00,2025-01-30,2,45
,4717,2025-01-31 18:40:00,2025-01-30,1,48
,4431,2025-01-31 18:37:00,2025-01-30,1,37
,1037,2025-01-31 19:13:00,2025-01-30,1,35
,5520,2025-01-31 18:44:00,2025-01-30,1,37
,2548,2025-01-31 19:16:00,2025-01-30,2,11
,2345,2025-01-31 18:58:00,2025-01-30,1,50
,1057,2025-01-31 18:52:00,2025-01-30,1,40
,1003,2025-01-31 18:46:00,2025-01-30,1,32
,2246,2025-01-31 18:57:00,2025-01-30,1,24
,1061,2025-01-31 19:13:00,2025-01-30,2,35
,1073,2025-01-31 18:34:00,2025-01-30,1,38
,4570,2025-01-31 18:55:00,2025-01-30,1,38
,1052,2025-01-31 19:10:00,2025-01-30,2,41
,4560,2025-01-31 18:19:00,2025-01-30,2,41
,1063,2025-01-31 19:20:00,2025-01-30,1,1
